title,course,strand,date,q1,q2,q3,q4,starter,preparer,demo,description,content,scale
Video Game History,GameDev1,01-01,1,"Identify key figures and designers, early games, milestones, and console wars",Individual students will be assigned a timeline range to research,Instructor will demonstrate how to find key information to present in class timeline,Submit a timeline component for the class historic timeline,Teacher will show historic elements through video and actual game demonstration,,,,,3
Game Ratings and Their History,GameDev1,01-02,2,Each of the game ratings from eC - RP will be explored and memorized,Small groups will answer the same questions about each of the standard ratings,Show an example of all questions being answered for one of the ratings (I do),Submit a presentation file with slides credited to each student,Video or reading sumarizing the history and background of each rating,Student1,Mr Kapptie will show students how to create the template and answer the questions for each rating.,Students will evenly divide into groups and create a shared presentation file to share with the class. Among the questions to answer:,ESRB Website: https://www.esrb.org/,3
Impact and Evolution of Gaming,GameDev1,01-03,3,"Impact and evolution of gaming from social, economic, and other industries","Students will create a timeline or infographic illustrating the key milestones in the evolution of gaming, highlighting significant social, economic, and technological impacts.","In pairs, students will research a specific decade in gaming history and present their findings to the class. Each pair will focus on the societal, economic, and industry-related impacts of gaming during that time.","Students will submit their timeline or infographic as a PDF file to Canvas. Additionally, they will submit a short reflection (250-300 words) on how gaming has evolved over the decades and its broader impact on society and industries.","Begin with a student-led discussion on their favorite games and how they believe those games have impacted their lives or society. Questions to prompt discussion: What is your favorite game, and why? How do you think this game has influenced you or others? Have you noticed any economic or social impacts of gaming in your community?",Student1,"The teacher will demonstrate the impact of a popular game, such as ""Minecraft,"" by showing its evolution, economic impact, and influence on education and social interactions. Use multimedia resources like videos, charts, and articles to illustrate points.","Introduction to Gaming Evolution: Brief history of gaming from early arcade games to current trends. Key milestones and their significance. Social Impact: Discuss the influence of gaming on different age groups, communities, and social behaviors. Positive impacts (e.g., improved cognitive skills, social connections) and negative impacts (e.g., addiction, social isolation). Economic Impact: Analyze the growth of the gaming industry, including revenue statistics and job creation. Discuss the impact of major game releases on the economy. Influence on Other Industries: Explore how gaming technology has influenced advancements in other fields such as virtual reality in healthcare, simulation training in the military, and gamification in education.","Websites: The History of Gaming, Economic Impact of Gaming, Social Impact of Gaming - Web Activities: Create a Gaming Timeline, Infographic Tools, Articles and Videos: The Evolution of Video Games, The Economic Impact of the Video Game Industry, The Impact of Video Games on Society",3
"Understand Game History, Ratings, Evolution",GameDev1,01-PS,4,"Understanding of relevant history, ratings and gaming evolution",,,,,,,,,3
Game Strategy & Feedback,GameDev1,02-01,5,"Identify game strategies, player motivation, needed feedback, and duration","Students will design a basic game concept, including the core strategy, player motivation elements, feedback mechanisms, and planned duration. This will be presented as a storyboard or flowchart.","In small groups, students will analyze a popular game to identify its strategy, player motivation factors, feedback systems, and how the duration keeps players engaged. Each group will present their findings to the class.","Students will submit their game concept storyboard or flowchart as a PDF file to Canvas. Additionally, each group will submit a summary (200-300 words) of their analysis of the popular game.",Begin with a student-led discussion on different types of games they enjoy and what strategies they believe make these games engaging. Questions to prompt discussion: What game genres do you prefer and why? What strategies do these games use to keep you engaged? How do these games provide feedback to players?,Student1,"The teacher will demonstrate the game ""Tetris"" to illustrate game strategy, player motivation, feedback, and duration. This will include: A brief playthrough of the game. Highlighting the strategy involved in fitting pieces together. Discussing how the game motivates players to improve their skills. Showing feedback through scores and levels. Explaining how the increasing difficulty affects game duration.","Introduction to Game Strategies: Overview of common game strategies in different genres (e.g., puzzle, strategy, RPG, action). Examples of successful games and their strategies. Understanding Player Motivation: Discuss intrinsic and extrinsic motivation. Elements that drive player engagement (e.g., challenge, reward, progression). Feedback Mechanisms in Games: Importance of feedback in maintaining player engagement. Types of feedback (e.g., visual, auditory, haptic). Examples from popular games. Determining Game Duration: Factors that influence appropriate game duration. Balancing game length to maintain interest without causing fatigue.","Links and Resources: Websites: Game Design Strategies, Understanding Player Motivation, Feedback in Games. Web Activities: Storyboard That, Flowchart Maker, Articles and Videos: Game Design Strategies Explained, Player Motivation in Games, The Role of Feedback in Game Design",3
Game Control,GameDev1,02-02,6,"Understand design function, usable game controls, accessibility, and immersion","Students will design a control scheme for a simple game concept, ensuring it incorporates usability, accessibility, and immersion. This will be presented as a diagram or detailed description.","In pairs, students will evaluate the control scheme of a popular game, noting its strengths and weaknesses in terms of usability, accessibility, and immersion. Each pair will present their analysis to the class.","Students will submit their control scheme design as a PDF file to Canvas. Additionally, they will submit a short analysis (200-300 words) of how their design meets the criteria of usability, accessibility, and immersion.",Begin with a student-led discussion on their favorite game controls and what makes them effective. Questions to prompt discussion: What game has the best controls in your opinion and why? What makes a control scheme easy or difficult to use? Have you encountered any games with excellent accessibility features?,Student1,"The teacher will demonstrate the control scheme of a well-known game, such as ""Celeste,"" highlighting its design, usability, accessibility features, and how it contributes to immersion. This will include: A brief playthrough to showcase the controls. Discussing the design choices that make the controls effective. Highlighting any accessibility options. Explaining how the control scheme enhances the immersive experience.","Introduction to Game Control Design: Overview of control design principles. Importance of intuitive controls in player experience. Usable Game Controls: Characteristics of usable and intuitive controls. Examples from various games and genres. Accessibility in Game Controls: Importance of accessibility in game design. Features that enhance accessibility (e.g., remappable controls, alternative input methods). Control Design and Immersion: How well-designed controls contribute to a player’s sense of immersion. Balancing complexity and simplicity to maintain engagement without frustration.","Websites:Game Accessibility Guidelines, Usability in Game Design, Immersion and Game Controls - Web Activities: Create a Control Scheme Diagram, Accessibility Checker - Articles and Videos: Designing Intuitive Game Controls, Game Accessibility Features, Control Design and Immersion",3
Design Aesthetics,GameDev1,02-03,7,Implementation of design aesthetics like world creation and four types of player views,"Students will create a basic concept for a game world, including environmental details and player views. This will be presented as a visual storyboard or concept art with annotations.","In small groups, students will analyze a well-known game to identify its design aesthetics, world creation techniques, and player views. Each group will present their analysis to the class, focusing on how these elements contribute to the overall game experience.","Students will submit their visual storyboard or concept art as a PDF file to Canvas. Additionally, they will submit a short reflection (200-300 words) on the design choices they made and how they enhance the game experience.",Begin with a student-led discussion on their favorite game worlds and player views. Questions to prompt discussion: What game world do you find most immersive and why? Which player view do you prefer and how does it impact your gaming experience? Can you identify a game that uses multiple player views effectively?,Student1,"The teacher will demonstrate the design aesthetics of a popular game, such as ""The Legend of Zelda: Breath of the Wild,"" highlighting its world creation and player views. This will include: A brief playthrough or walkthrough to showcase the game world and player views. Discussing the design choices that make the world immersive. Explaining the different types of player views used and their impact on gameplay.",Introduction to Design Aesthetics: Overview of design aesthetics in games. Importance of cohesive and engaging visual design. World Creation: Techniques for creating immersive game worlds. Examples of successful world designs in various games. Types of Player Views: First-person view: Immersion and personal experience. Third-person view: Character-focused and situational awareness. Top-down view: Strategic and overview perspective. Side-scrolling view: Classic gameplay and simplicity. Examples of games utilizing each view effectively.,"Websites: ArtStation for game concept art and inspiration. Gamasutra for articles on game design aesthetics. Polycount for game art and design discussions. - Web Activities: Storyboard That for creating visual storyboards. Concept Art Tools for digital drawing and concept creation. - Articles and Videos: World Building in Games, Understanding Player Views, Designing Immersive Game Worlds",3
Interface Elements,GameDev1,02-04,8,Exploration of interface elements including diegetic and non-diegetic design and functionality,"Students will design a user interface (UI) for a simple game concept, incorporating both diegetic and non-diegetic elements. This will be presented as a visual mockup or wireframe with annotations explaining the design choices.","In pairs, students will analyze the UI of a popular game, identifying diegetic and non-diegetic elements and discussing their functionality and impact on the player experience. Each pair will present their findings to the class.","Students will submit their UI mockup or wireframe as a PDF file to Canvas. Additionally, they will submit a short analysis (200-300 words) on the effectiveness of their design in enhancing user experience and gameplay.",Begin with a student-led discussion on the importance of UI in games. Questions to prompt discussion: What game UIs do you find most effective and why? Can you think of examples of diegetic and non-diegetic elements in games you’ve played? How do these elements impact your gameplay experience?,Student1,"The teacher will demonstrate the UI of a well-known game, such as ""Dead Space,"" highlighting its diegetic and non-diegetic elements. This will include: A brief playthrough or walkthrough to showcase the UI. Discussing the design choices that make the UI effective. Explaining the difference between diegetic and non-diegetic elements and their roles in the game.","Introduction to Interface Elements: Overview of interface elements in games. Importance of a well-designed UI for player experience. Diegetic Interface Elements: Definition and examples (e.g., in-game maps, health indicators integrated into the game world). Benefits and challenges of diegetic elements. Non-Diegetic Interface Elements: Definition and examples (e.g., HUDs, menus, scoreboards). Benefits and challenges of non-diegetic elements. Designing Effective UI: Principles of effective UI design. Balancing diegetic and non-diegetic elements to enhance gameplay and immersion.","Websites: Gamasutra for articles on UI design in games. UX Design for principles of user experience design. Game UI Database for examples of game UIs. Web Activities: Wireframe Tools for creating UI mockups. UI Design Software for designing interactive interfaces. Articles and Videos: Understanding Diegetic and Non-Diegetic UI, UI Design in Games,  Effective Game UI Design Principles",3
"Understand Game Design, View and Interface",GameDev1,02-PS,9,"Understanding of game functionality and feedback as well as control, views and interface elements",,,,,,,,,3
Game Platforms Introduction,GameDev1,03-01,10,"Identify game platforms like console, desktop/laptop, and mobile","Students will create a comparison chart that details the features, advantages, and disadvantages of console, desktop/laptop, and mobile gaming platforms. This chart will include examples of popular games for each platform and how their design is influenced by the platform's characteristics.","In small groups, students will select one game platform and research a popular game developed for that platform. They will present their findings, focusing on how the platform's features influence the game's design, controls, and player experience.",Students will submit their comparison chart as a PDF file to Canvas. Each group will also submit a summary (200-300 words) of their presentation on the selected game platform and game.,"Begin with a student-led discussion on the different game platforms they use. Questions to prompt discussion: Which game platform do you use most frequently and why? What do you think are the main differences between playing games on a console, desktop/laptop, and mobile? Have you noticed any differences in game design or controls across these platforms?",Student1,"The teacher will demonstrate the differences between game platforms using specific examples. This could include: Showing gameplay footage from a console game, a desktop/laptop game, and a mobile game. Discussing the unique features of each platform, such as control schemes, graphics capabilities, and user interfaces. Highlighting how these features impact game design and player experience.","Introduction to Game Platforms: Overview of the main game platforms: console, desktop/laptop, and mobile. Brief history and evolution of each platform. Console Gaming: Characteristics of console gaming (e.g., dedicated hardware, standardized controls). Examples of popular console games and how they utilize platform features. Desktop/Laptop Gaming: Characteristics of desktop/laptop gaming (e.g., customizable hardware, diverse control options). Examples of popular desktop/laptop games and how they utilize platform features. Mobile Gaming: Characteristics of mobile gaming (e.g., touch controls, portability, varying screen sizes). Examples of popular mobile games and how they utilize platform features.",Links and Resources: Websites: Gamasutra for articles on game development for different platforms. IGN for reviews and analysis of games on various platforms. Game Developer for insights into platform-specific game development. Web Activities: Platform Comparison Chart Template for creating comparison charts. Game Development Forums for discussions on platform-specific development. Articles and Videos: Understanding Game Platforms - video explaining different game platforms. Console vs. PC Gaming - video comparison of console and PC gaming. Mobile Game Development - video on the unique aspects of mobile game development.,3
